Version,Threads,ArraySize,MergeVersion,MergeTime,TotalTime
Sequential,1,100000,NA,2.922760,
OpenMP,2,100000,Serial,0.001041,0.849714
OpenMP,2,100000,Parallel,0.000879,0.796649
OpenMP,2,100000,Tree,0.000990,0.818182
OpenMP,4,100000,Serial,0.001838,1.206353
OpenMP,4,100000,Parallel,0.001543,0.249481
OpenMP,4,100000,Tree,0.001495,0.249575
OpenMP,6,100000,Serial,0.002975,0.140319
OpenMP,6,100000,Parallel,0.001722,0.146608
OpenMP,6,100000,Tree,0.001821,0.125015
OpenMP,8,100000,Serial,0.003122,0.090687
OpenMP,8,100000,Parallel,0.001745,0.087879
OpenMP,8,100000,Tree,0.001921,0.087166
OpenMP,10,100000,Serial,0.005873,0.072173
OpenMP,10,100000,Parallel,0.002131,0.069772
OpenMP,10,100000,Tree,0.002065,0.067978
OpenMP,12,100000,Serial,0.003805,0.071485
OpenMP,12,100000,Parallel,0.011099,0.087324
OpenMP,12,100000,Tree,0.002201,0.071977
Pthreads,2,100000,Serial,0.000910,0.782686
Pthreads,2,100000,Parallel,0.007339,0.795112
Pthreads,2,100000,Tree,0.014214,0.813610
Pthreads,4,100000,Serial,0.001571,0.259612
Pthreads,4,100000,Parallel,0.023692,0.271689
Pthreads,4,100000,Tree,0.023775,0.271085
Pthreads,6,100000,Serial,0.002159,0.122858
Pthreads,6,100000,Parallel,0.024358,0.155615
Pthreads,6,100000,Tree,0.024907,0.152305
Pthreads,8,100000,Serial,0.002528,0.086278
Pthreads,8,100000,Parallel,0.030970,0.115214
Pthreads,8,100000,Tree,0.025755,0.108108
Pthreads,10,100000,Serial,0.003481,0.064244
Pthreads,10,100000,Parallel,0.038330,0.098229
Pthreads,10,100000,Tree,0.037698,0.105610
Pthreads,12,100000,Serial,0.003068,0.050001
Pthreads,12,100000,Parallel,0.009311,0.053904
Pthreads,12,100000,Tree,0.004935,0.056185
MPI,2,100000,Serial,,0.716066
MPI,2,100000,Parallel,,0.752288
MPI,2,100000,Tree,,0.765391
MPI,4,100000,Serial,,0.203425
MPI,4,100000,Parallel,,0.236287
MPI,4,100000,Tree,,0.237817
MPI,6,100000,Serial,,0.128021
MPI,6,100000,Parallel,,0.162907
MPI,6,100000,Tree,,0.142773
MPI,8,100000,Serial,,0.083744
MPI,8,100000,Parallel,,0.116481
MPI,8,100000,Tree,,0.116556
MPI,10,100000,Serial,,0.060323
MPI,10,100000,Parallel,,0.101393
MPI,10,100000,Tree,,0.090583
MPI,12,100000,Serial,,0.052356
MPI,12,100000,Parallel,,0.087748
MPI,12,100000,Tree,,0.091198
