Version,Threads,ArraySize,MergeVersion,MergeTime,TotalTime 
Sequential,1,100000,NA,3.065327,seconds 
OpenMP,2,100000,Serial,time,(sort+merge): 
OpenMP,2,100000,Parallel,time,(sort+merge): 
OpenMP,2,100000,Tree,time,(sort+merge): 
OpenMP,4,100000,Serial,time,(sort+merge): 
OpenMP,4,100000,Parallel,time,(sort+merge): 
OpenMP,4,100000,Tree,time,(sort+merge): 
OpenMP,6,100000,Serial,time,(sort+merge): 
OpenMP,6,100000,Parallel,time,(sort+merge): 
OpenMP,6,100000,Tree,time,(sort+merge): 
OpenMP,8,100000,Serial,time,(sort+merge): 
OpenMP,8,100000,Parallel,time,(sort+merge): 
OpenMP,8,100000,Tree,time,(sort+merge): 
OpenMP,10,100000,Serial,time,(sort+merge): 
OpenMP,10,100000,Parallel,time,(sort+merge): 
OpenMP,10,100000,Tree,time,(sort+merge): 
OpenMP,12,100000,Serial,time,(sort+merge): 
OpenMP,12,100000,Parallel,time,(sort+merge): 
OpenMP,12,100000,Tree,time,(sort+merge): 
Pthreads,2,100000,Serial,time,(sort+merge): 
Pthreads,2,100000,Parallel,time,(sort+merge): 
Pthreads,2,100000,Tree,time,(sort+merge): 
Pthreads,4,100000,Serial,time,(sort+merge): 
Pthreads,4,100000,Parallel,time,(sort+merge): 
Pthreads,4,100000,Tree,time,(sort+merge): 
Pthreads,6,100000,Serial,time,(sort+merge): 
Pthreads,6,100000,Parallel,time,(sort+merge): 
Pthreads,6,100000,Tree,time,(sort+merge): 
Pthreads,8,100000,Serial,time,(sort+merge): 
Pthreads,8,100000,Parallel,time,(sort+merge): 
Pthreads,8,100000,Tree,time,(sort+merge): 
Pthreads,10,100000,Serial,time,(sort+merge): 
Pthreads,10,100000,Parallel,time,(sort+merge): 
Pthreads,10,100000,Tree,time,(sort+merge): 
Pthreads,12,100000,Serial,time,(sort+merge): 
Pthreads,12,100000,Parallel,time,(sort+merge): 
Pthreads,12,100000,Tree,time,(sort+merge): 
